COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
TOTOECD,BALANCE,TOTPRODS,RECYCLED,2Q2023,292.478
TOTOECD,BALANCE,TOTPRODS,REFFUEL,2Q2023,18886.648
TOTOECD,BALANCE,TOTPRODS,REFGROUT,2Q2023,463558.967
TOTOECD,BALANCE,CRNGFEED,REFINOBS,2Q2023,475870.60599999997
TOTOECD,BALANCE,CRNGFEED,REFLOSS,2Q2023,12311.639
TOTOECD,BALANCE,CRNGFEED,STATDIFF,2Q2023,-9566.627
TOTOECD,BALANCE,TOTPRODS,STATDIFF,2Q2023,4699.148
TOTOECD,BALANCE,CRNGFEED,STCHANAT,2Q2023,-3041.842
TOTOECD,BALANCE,TOTPRODS,STCHANAT,2Q2023,3338.343
TOTOECD,BALANCE,CRNGFEED,TOTEXPSB,2Q2023,151885.751
TOTOECD,BALANCE,TOTPRODS,TOTEXPSB,2Q2023,163583.741
TOTOECD,BALANCE,CRNGFEED,TOTIMPSB,2Q2023,302416.903
TOTOECD,BALANCE,TOTPRODS,TOTIMPSB,2Q2023,154174.603
TOTOECD,BALANCE,CRNGFEED,BACKFLOW,AUG2022,3353.5840000000003
TOTOECD,BALANCE,TOTPRODS,BACKFLOW,AUG2022,3353.5840000000003
TOTOECD,BALANCE,TOTPRODS,BUNKERS,AUG2022,7306.65
TOTOECD,BALANCE,CRNGFEED,CSNATTER,AUG2022,273582.003
TOTOECD,BALANCE,TOTPRODS,CSNATTER,AUG2022,199485.09100000001
TOTOECD,BALANCE,CRNGFEED,DIRECUSE,AUG2022,23889.596
TOTOECD,BALANCE,TOTPRODS,GDINCTRO,AUG2022,161636.949
TOTOECD,BALANCE,CRNGFEED,INDPROD,AUG2022,110007.631
TOTOECD,BALANCE,TOTPRODS,IPTRANSF,AUG2022,0.0
TOTOECD,BALANCE,TOTPRODS,NETDELIC,AUG2022,158283.365
TOTOECD,BALANCE,CRNGFEED,OSNATTER,AUG2022,277255.967
TOTOECD,BALANCE,TOTPRODS,OSNATTER,AUG2022,201373.963
TOTOECD,BALANCE,CRNGFEED,OSOURCES,AUG2022,7876.961
TOTOECD,BALANCE,TOTPRODS,PPRECPTS,AUG2022,23889.596
TOTOECD,BALANCE,CRNGFEED,PTRANSF,AUG2022,5854.3009999999995
TOTOECD,BALANCE,TOTPRODS,PTRANSF,AUG2022,5854.3009999999995
TOTOECD,BALANCE,TOTPRODS,RECYCLED,AUG2022,117.75899999999999
TOTOECD,BALANCE,TOTPRODS,REFFUEL,AUG2022,7049.38
TOTOECD,BALANCE,TOTPRODS,REFGROUT,AUG2022,165959.31100000002
TOTOECD,BALANCE,CRNGFEED,REFINOBS,AUG2022,169905.021
TOTOECD,BALANCE,CRNGFEED,REFLOSS,AUG2022,3945.71
TOTOECD,BALANCE,CRNGFEED,STATDIFF,AUG2022,-4272.497
TOTOECD,BALANCE,TOTPRODS,STATDIFF,AUG2022,2422.804
TOTOECD,BALANCE,CRNGFEED,STCHANAT,AUG2022,-3673.9640000000004
